Date,Nifty,TCS.BO,INFY.BO,RELIANCE.BO,HDFCBANK.BO,ICICIBANK.BO
2022-07-01,15752.0498046875,3210.163330078125,1458.446533203125,2393.262451171875,1338.3062744140625,694.0917358398438
2022-07-04,15835.349609375,3131.268310546875,1468.017822265625,2398.22998046875,1340.036376953125,709.7186279296875
2022-07-05,15810.849609375,3113.35986328125,1456.76904296875,2417.3544921875,1336.6749267578125,709.3243408203125
2022-07-06,15989.7998046875,3156.098876953125,1472.162109375,2396.242919921875,1355.953857421875,715.8314819335938
2022-07-07,16132.900390625,3181.89697265625,1478.8719482421875,2372.10107421875,1380.2255859375,731.5076904296875
2022-07-08,16220.599609375,3160.50341796875,1493.919677734375,2375.92626953125,1380.9176025390625,745.014892578125
2022-07-11,16216.0,3013.748291015625,1453.26611328125,2407.419921875,1389.617919921875,758.62060546875
2022-07-12,16058.2998046875,2986.0625,1419.4210205078125,2404.3896484375,1375.87548828125,749.1557006835938
2022-07-13,15966.650390625,2941.43603515625,1425.785400390625,2361.818603515625,1342.2608642578125,742.500732421875
2022-07-14,15938.650390625,2902.859619140625,1410.1456298828125,2381.340576171875,1335.98291015625,741.7612915039062
2022-07-15,16049.2001953125,2897.874267578125,1411.527099609375,2385.910888671875,1348.3905029296875,740.5288696289062
2022-07-18,16278.5,2962.539306640625,1470.287353515625,2406.37646484375,1332.374267578125,761.08544921875
2022-07-19,16340.5498046875,2976.81787109375,1465.2056884765625,2425.302490234375,1332.32470703125,769.6630249023438
2022-07-20,16520.849609375,3062.828125,1494.8570556640625,2485.1103515625,1350.2196044921875,771.6841430664062
2022-07-21,16605.25,3076.138671875,1512.5196533203125,2471.20166015625,1345.5728759765625,775.2334594726562
2022-07-22,16719.44921875,3069.65283203125,1486.32177734375,2486.6005859375,1377.0618896484375,788.7406616210938
2022-07-25,16631.0,3066.071044921875,1482.91748046875,2404.3896484375,1380.2750244140625,789.6280517578125
2022-07-26,16483.849609375,3016.265625,1432.544677734375,2404.737548828125,1376.7652587890625,784.8462524414062
2022-07-27,16641.80078125,3086.4482421875,1451.687255859375,2403.49560546875,1388.184326171875,789.184326171875
2022-07-28,16929.599609375,3156.001953125,1497.3238525390625,2441.248046875,1400.888671875,802.9872436523438
2022-07-29,17158.25,3195.304443359375,1529.0474853515625,2492.41259765625,1418.1903076171875,806.9802856445312
2022-08-01,17340.05078125,3193.755126953125,1530.0341796875,2558.33056640625,1428.76904296875,811.7127075195312
2022-08-02,17345.44921875,3184.89794921875,1522.4364013671875,2566.278564453125,1412.65380859375,805.2549438476562
2022-08-03,17388.150390625,3232.8642578125,1544.3912353515625,2588.830810546875,1416.905029296875,813.093017578125
2022-08-04,17382.0,3246.94921875,1578.4337158203125,2554.654541015625,1414.13671875,808.311279296875
2022-08-05,17397.5,3257.694580078125,1595.109619140625,2517.448486328125,1410.3798828125,826.6002197265625
2022-08-08,17525.099609375,3266.116455078125,1597.625732421875,2550.084716796875,1444.389892578125,829.5757446289062
2022-08-10,17534.75,3248.739990234375,1580.1605224609375,2565.135986328125,1449.3826904296875,841.5770263671875
2022-08-11,17659.0,3313.066162109375,1598.2176513671875,2573.332275390625,1469.8974609375,852.2888793945312
2022-08-12,17698.150390625,3291.14013671875,1573.3519287109375,2615.505859375,1467.920166015625,867.6128540039062
2022-08-16,17825.25,3284.509033203125,1574.634765625,2633.289306640625,1484.9251708984375,872.472900390625
